"participant_id","condition","phase","trialnum","blocknum","dot_difference","rt","response","target_left","correct","confidence"
"5ea824f580b9ef228f589930",1,"Test",59,2,63,"175","w","true",1,3
"5ea824f580b9ef228f589930",1,"Test",60,2,63,"61","e","false",1,3
"5ea824f580b9ef228f589930",1,"Test",61,2,57,"70","e","false",1,3
"5ea824f580b9ef228f589930",1,"Test",62,2,57,"136","e","true",0,4
"5ea824f580b9ef228f589930",1,"Test",63,2,63,"127","e","false",1,5
"5ea824f580b9ef228f589930",1,"Test",64,2,63,"185","e","true",0,3
"5ea824f580b9ef228f589930",1,"Test",65,2,70,"293","e","false",1,4
"5ea824f580b9ef228f589930",1,"Test",66,2,70,"204","e","true",0,2
"5ea824f580b9ef228f589930",1,"Test",67,2,77,"168","e","false",1,6
"5ea824f580b9ef228f589930",1,"Test",68,2,77,"262","w","true",1,5
"5ea824f580b9ef228f589930",1,"Test",69,3,70,"242","e","false",1,6
"5ea824f580b9ef228f589930",1,"Test",70,3,70,"273","w","true",1,6
"5ea824f580b9ef228f589930",1,"Test",71,3,63,"343","w","true",1,6
"5ea824f580b9ef228f589930",1,"Test",72,3,63,"87","e","false",1,6
"5ea824f580b9ef228f589930",1,"Test",73,3,57,"145","e","false",1,6
"5ea824f580b9ef228f589930",1,"Test",74,3,57,"56","e","true",0,5
"5ea824f580b9ef228f589930",1,"Test",75,3,63,"240","e","false",1,5
"5ea824f580b9ef228f589930",1,"Test",76,3,63,"114","e","true",0,1
"5ea824f580b9ef228f589930",1,"Test",77,3,70,"155","w","true",1,5
"5ea824f580b9ef228f589930",1,"Test",78,3,70,"258","e","false",1,5
"5ea824f580b9ef228f589930",1,"Test",79,3,63,"173","e","false",1,6
"5ea824f580b9ef228f589930",1,"Test",80,3,63,"99","e","true",0,1
"5ea824f580b9ef228f589930",1,"Test",81,3,70,"224","w","true",1,5
"5ea824f580b9ef228f589930",1,"Test",82,3,70,"268","e","false",1,5
"5ea824f580b9ef228f589930",1,"Test",83,3,63,"180","w","true",1,5
"5ea824f580b9ef228f589930",1,"Test",84,3,63,"201","e","false",1,5
"5ea824f580b9ef228f589930",1,"Test",85,3,57,"290","e","false",1,5
"5ea824f580b9ef228f589930",1,"Test",86,3,57,"395","e","true",0,5
"5ea824f580b9ef228f589930",1,"Test",87,3,63,"423","w","true",1,5
"5ea824f580b9ef228f589930",1,"Test",88,3,63,"270","e","false",1,5
"5ea824f580b9ef228f589930",1,"Test",89,3,57,"313","e","true",0,5
"5ea824f580b9ef228f589930",1,"Test",90,3,63,"209","e","false",1,5
"5ea824f580b9ef228f589930",1,"Test",91,3,63,"272","w","true",1,6
"5ea824f580b9ef228f589930",1,"Test",92,3,57,"258","e","false",1,6
"5ea824f580b9ef228f589930",1,"Test",93,3,57,"242","w","true",1,6
"5ea824f580b9ef228f589930",1,"Test",94,3,52,"269","e","false",1,4
"5ea824f580b9ef228f589930",1,"Test",95,3,52,"240","w","true",1,5
"5ea824f580b9ef228f589930",1,"Test",96,3,47,"213","e","false",1,3
"5ea824f580b9ef228f589930",1,"Test",97,3,47,"170","e","false",1,6
"5ea824f580b9ef228f589930",1,"Test",98,3,43,"165","e","true",0,3
"5ea824f580b9ef228f589930",1,"Test",99,3,47,"342","w","true",1,3
"5ea824f580b9ef228f589930",1,"Test",100,3,47,"271","e","false",1,4
"5ea824f580b9ef228f589930",1,"Test",101,3,43,"375","w","false",0,3
"5ea824f580b9ef228f589930",1,"Test",102,3,47,"159","w","true",1,4
"5ea824f580b9ef228f589930",1,"Test",103,3,47,"2615","e","false",1,1
"5ea824f580b9ef228f589930",1,"Test",104,3,43,"240","w","true",1,4
"5ea824f580b9ef228f589930",1,"Test",105,3,43,"372","e","false",1,5
"5ea824f580b9ef228f589930",1,"Test",106,3,38,"6682","e","true",0,1
"5ea824f580b9ef228f589930",1,"Test",107,3,43,"414","w","true",1,4
"5ea824f580b9ef228f589930",1,"Test",108,3,43,"165","e","false",1,4
"5ea824f580b9ef228f589930",1,"Test",109,3,38,"228","e","true",0,3
"5ea824f580b9ef228f589930",1,"Test",110,3,43,"248","w","false",0,3
"65b7b0e4e6fa7d632205b4b6",1,"Test",27,2,32,"774","w","false",0,1
"65b7b0e4e6fa7d632205b4b6",1,"Test",28,2,35,"704","w","true",1,4
"65b7b0e4e6fa7d632205b4b6",1,"Test",29,2,35,"757","w","false",0,1
"65b7b0e4e6fa7d632205b4b6",1,"Test",30,2,38,"314","w","true",1,4
"65b7b0e4e6fa7d632205b4b6",1,"Test",31,2,38,"583","w","true",1,3
"65b7b0e4e6fa7d632205b4b6",1,"Test",32,2,35,"635","e","false",1,3
"65b7b0e4e6fa7d632205b4b6",1,"Test",33,2,35,"795","w","true",1,4
"65b7b0e4e6fa7d632205b4b6",1,"Test",34,2,32,"906","e","false",1,1
"65b7b0e4e6fa7d632205b4b6",1,"Test",35,2,32,"636","e","false",1,3
"65b7b0e4e6fa7d632205b4b6",1,"Test",36,2,29,"578","w","true",1,4
